id,name,party
ul,Ursula von der Leyen,CDU
lk,Lars Klingbeil,SPD
nr,Norbert Röttgen,CDU
sw,Sahra Wagenknecht,Die Linke
cs,Constanze Stelzenmüller,NA
cl,Christian Lindner,FDP
ks,Karl Schlögel,NA
lm,Ljudmyla Melnyk,NA
kd,Kristina Dunz,NA
el,Egils Levits,NA
ab,Annalena Baerbock,Bündnis 90/​Die Grünen
ft,Frans Timmermans,NA
am,Andrij Melnyk,NA
agl,Alexander Graf Lambsdorff,FDP
er,Egon Ramms,NA
rh,Robert Habeck,Bündnis 90/​Die Grünen
cm,Claudia Major,NA
kp,Katja Petrowskaja,NA
rk,Roderich Kiesewetter,CDU
500,Folge 500,NA
501,Folge 501,NA
502,Folge 502,NA
503,Folge 503,NA
